[2018-04-09 22:09:54,756] INFO EventThread shut down for session: 0x162ad277ca50000 (org.apache.zookeeper.ClientCnxn)
[2018-04-09 22:09:54,756] INFO [ThrottledRequestReaper-Fetch]: Shutting down (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-04-09 22:09:55,282] INFO [ThrottledRequestReaper-Fetch]: Stopped (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-04-09 22:09:55,282] INFO [ThrottledRequestReaper-Fetch]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-04-09 22:09:55,283] INFO [ThrottledRequestReaper-Produce]: Shutting down (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-04-09 22:09:56,287] INFO [ThrottledRequestReaper-Produce]: Stopped (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-04-09 22:09:56,287] INFO [ThrottledRequestReaper-Produce]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-04-09 22:09:56,288] INFO [ThrottledRequestReaper-Request]: Shutting down (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-04-09 22:09:57,291] INFO [ThrottledRequestReaper-Request]: Stopped (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-04-09 22:09:57,291] INFO [ThrottledRequestReaper-Request]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
[2018-04-09 22:09:57,294] INFO [SocketServer brokerId=0] Shutting down socket server (kafka.network.SocketServer)
[2018-04-09 22:09:57,330] INFO [SocketServer brokerId=0] Shutdown completed (kafka.network.SocketServer)
[2018-04-09 22:09:57,339] INFO [KafkaServer id=0] shut down completed (kafka.server.KafkaServer)
